FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_3\glorot\clus\clus_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 195
Number of single edges: 195
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 6

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

614061 subgraphs were enumerated in the original network.
51184491 subgraphs were enumerated in the random networks.
51798552 subgraphs were enumerated in all networks.

For the random networks: 81254 tries were made, 57369 were successful.
Randomization took 0.064 seconds.
Enumeration took 154.534 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

133656,000000,0.20633%,0.11974%,0.00021304,4.0646,0
,000000
,000000
,200000
,220000
,022000

4261936,000000,0.18598%,0.12284%,0.00023351,2.7039,0.01
,000000
,020000
,200000
,200000
,220000

4261936,000000,0.17637%,0.11624%,0.00018341,3.2784,0
,000000
,300000
,020000
,200000
,220000

4229160,000000,0.15161%,0.099747%,0.00021505,2.4119,0.01
,000000
,020000
,002000
,200000
,202000

541130848,000000,0.13631%,0.02682%,0.000142,7.7103,0
,200000
,000002
,020000
,000002
,200000

541130848,000000,0.12523%,0.0256%,0.00010618,9.383,0
,100000
,020000
,200000
,000200
,000200

33949728,000000,0.11758%,0.019138%,0.00010408,9.4585,0
,100000
,100000
,000020
,200000
,020000

66104,000000,0.11432%,0.061944%,0.00016184,3.2364,0
,000000
,000000
,020000
,200000
,222000

4261936,000000,0.11172%,0.098169%,0.00017462,0.77575,0.2
,000000
,100000
,020000
,200000
,220000

66104,000000,0.1065%,0.053307%,0.00015273,3.4832,0.02
,000000
,000000
,200000
,002000
,322000

33949728,000000,0.1065%,0.030579%,0.0001459,5.204,0
,100000
,020000
,200000
,000200
,200000

4229160,000000,0.10634%,0.063976%,0.00011554,3.6668,0
,000000
,030000
,002000
,200000
,202000

4260392,000000,0.10097%,0.044292%,0.00015062,3.7629,0
,000000
,020000
,010000
,002000
,202000

4229160,000000,0.10097%,0.069045%,0.00012297,2.5961,0.02
,000000
,010000
,002000
,200000
,202000

133656,000000,0.095919%,0.047563%,8.3415e-005,5.797,0
,000000
,000000
,200000
,320000
,022000

134184,000000,0.095593%,0.042903%,0.00011641,4.5261,0
,000000
,000000
,200000
,302000
,220000

4261936,000000,0.093476%,0.045969%,0.00013013,3.6507,0
,000000
,200000
,020000
,020000
,230000

133656,000000,0.091359%,0.047306%,9.1452e-005,4.8171,0
,000000
,000000
,200000
,032000
,220000

541132832,000000,0.09087%,0.042055%,0.00016593,2.9419,0
,100000
,200000
,002000
,002000
,200000

66104,000000,0.088753%,0.060951%,0.00016131,1.7235,0.06
,000000
,000000
,030000
,200000
,222000

134184,000000,0.088265%,0.057878%,0.0001317,2.3074,0.02
,000000
,000000
,200000
,220000
,202000

133656,000000,0.087776%,0.047626%,0.00010778,3.7251,0
,000000
,000000
,200000
,230000
,022000

4203560,000000,0.086148%,0.019149%,8.7233e-005,7.6805,0
,000000
,020000
,000020
,020000
,202000

541130848,000000,0.085008%,0.025089%,0.00010163,5.8959,0
,300000
,020000
,200000
,000200
,000200

133656,000000,0.084845%,0.057202%,8.2839e-005,3.337,0
,000000
,000000
,200000
,023000
,220000

33949728,000000,0.082565%,0.0079308%,6.4767e-005,11.524,0
,100000
,200000
,200000
,002000
,000200

541130848,000000,0.081425%,0.016348%,8.0965e-005,8.0377,0
,100000
,020000
