FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_3\glorot\init\init_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 210
Number of single edges: 210
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 6

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

819309 subgraphs were enumerated in the original network.
68444046 subgraphs were enumerated in the random networks.
69263355 subgraphs were enumerated in all networks.

For the random networks: 87856 tries were made, 61663 were successful.
Randomization took 0.069 seconds.
Enumeration took 227.982 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

541130848,000000,0.14866%,0.023995%,9.9655e-005,12.51,0
,100000
,020000
,200000
,000200
,000200

4261936,000000,0.14817%,0.11928%,0.0001618,1.7859,0.08
,000000
,300000
,020000
,200000
,220000

4261936,000000,0.12669%,0.085636%,0.00014739,2.7855,0
,000000
,300000
,020000
,200000
,320000

4261936,000000,0.12572%,0.11251%,0.00023837,0.55418,0.34
,000000
,020000
,200000
,200000
,220000

133656,000000,0.12218%,0.090173%,0.00015776,2.0286,0.02
,000000
,000000
,200000
,220000
,022000

541130848,000000,0.11534%,0.030177%,0.0001494,5.7005,0
,200000
,000002
,020000
,000002
,200000

4229160,000000,0.11095%,0.089449%,0.0001999,1.0754,0.14
,000000
,020000
,002000
,200000
,202000

33949728,000000,0.11046%,0.013421%,7.8381e-005,12.38,0
,100000
,100000
,000020
,200000
,020000

4261936,000000,0.11009%,0.071596%,0.00014413,2.6711,0
,000000
,300000
,020000
,200000
,230000

133656,000000,0.10594%,0.057293%,8.1606e-005,5.9616,0
,000000
,000000
,200000
,032000
,220000

33949728,000000,0.10509%,0.030012%,0.00011459,6.5518,0
,100000
,020000
,200000
,000200
,200000

4260392,000000,0.09984%,0.032563%,0.00010854,6.1986,0
,000000
,020000
,010000
,002000
,202000

66104,000000,0.099596%,0.058255%,0.00012648,3.2687,0
,000000
,000000
,200000
,002000
,322000

4261936,000000,0.099352%,0.074047%,0.00016277,1.5546,0.03
,000000
,200000
,200000
,020000
,230000

4261936,000000,0.098742%,0.062844%,0.00011863,3.0262,0.01
,000000
,200000
,020000
,020000
,230000

541130848,000000,0.093738%,0.016237%,6.6317e-005,11.686,0
,100000
,020000
,020000
,200000
,000020

133656,000000,0.093738%,0.0582%,9.7555e-005,3.6428,0
,000000
,000000
,200000
,230000
,022000

133656,000000,0.092883%,0.057754%,7.8853e-005,4.455,0
,000000
,000000
,200000
,320000
,022000

4261936,000000,0.092761%,0.071735%,0.00013721,1.5324,0.07
,000000
,300000
,020000
,020000
,220000

134184,000000,0.08971%,0.05093%,9.6679e-005,4.0112,0
,000000
,000000
,200000
,302000
,220000

4229160,000000,0.088123%,0.058767%,0.00011709,2.5072,0.02
,000000
,020000
,300000
,002000
,202000

133656,000000,0.088001%,0.05972%,8.9681e-005,3.1535,0
,000000
,000000
,200000
,023000
,220000

541130848,000000,0.087879%,0.018886%,7.382e-005,9.3462,0
,100000
,030000
,000020
,200000
,020000

541130848,000000,0.086902%,0.02578%,0.00010473,5.8363,0
,300000
,020000
,200000
,000200
,000200

4229160,000000,0.085804%,0.058001%,0.0001381,2.0132,0.03
,000000
,020000
,002000
,200000
,302000

530480,000000,0.08556%,0.013645%,6.2906e-005,11.432,0
,000000
,100000
,002000
,000002
,220000

