FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_3\normal\init\init_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 213
Number of single edges: 213
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

12260 subgraphs were enumerated in the original network.
1122379 subgraphs were enumerated in the random networks.
1134639 subgraphs were enumerated in all networks.

For the random networks: 92423 tries were made, 61820 were successful.
Randomization took 0.048 seconds.
Enumeration took 1.085 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

140,0000,2.3817%,2.1254%,0.0019175,1.3367,0.12
,0000
,3000
,3300

140,0000,2.0881%,1.9022%,0.0016897,1.1004,0.1
,0000
,1000
,3300

140,0000,2.0555%,1.8248%,0.0015501,1.4879,0.06
,0000
,3000
,1100

2184,0000,2.0065%,1.6899%,0.00070471,4.4927,0
,2000
,1000
,3000

140,0000,1.8026%,1.6516%,0.0016636,0.90758,0.17
,0000
,3000
,3100

140,0000,1.7455%,1.4748%,0.0014876,1.8196,0.04
,0000
,3000
,1300

140,0000,1.7292%,1.4014%,0.0012365,2.6507,0.01
,0000
,0100
,3100

140,0000,1.7292%,1.6683%,0.0016057,0.37942,0.32
,0000
,1000
,1100

140,0000,1.5416%,1.4095%,0.0011997,1.1015,0.14
,0000
,2000
,1100

2184,0000,1.5416%,1.28%,0.00084451,3.0972,0
,1000
,3000
,3000

140,0000,1.5253%,1.364%,0.0011926,1.3524,0.12
,0000
,2000
,3300

2184,0000,1.4927%,1.2516%,0.00062911,3.8324,0
,3000
,1000
,1000

140,0000,1.4927%,1.439%,0.0013344,0.40214,0.34
,0000
,1000
,3100

2116,0000,1.4274%,1.0395%,0.00095027,4.0825,0
,0010
,3000
,0030

140,0000,1.354%,1.2295%,0.0012076,1.0306,0.15
,0000
,1000
,2300

140,0000,1.354%,1.1666%,0.001119,1.6748,0.06
,0000
,2000
,1300

2184,0000,1.3214%,1.0978%,0.00081889,2.7307,0
,2000
,1000
,1000

2116,0000,1.2643%,0.92911%,0.00077792,4.3085,0
,1000
,0100
,0300

2184,0000,1.248%,1.0302%,0.00079391,2.7427,0
,2000
,3000
,3000

140,0000,1.1501%,1.2445%,0.0010976,-0.86053,0.81
,0000
,3000
,3200

140,0000,1.1419%,1.1086%,0.001152,0.28944,0.36
,0000
,0100
,2300

140,0000,1.1256%,1.0672%,0.0013917,0.41954,0.27
,0000
,1000
,2100

140,0000,1.1093%,1.0068%,0.0012253,0.8368,0.17
,0000
,0300
,2100

14,0000,1.0848%,0.7878%,0.00067574,4.3955,0
,0000
,0000
,2310

140,0000,1.0359%,1.0929%,0.0011743,-0.48555,0.7
,0000
,3000
,2300

140,0000,1.0114%,1.0218%,0.00091339,-0.11352,0.56
,0000
,2000
,3100

140,0000,1.0114%,1.0026%,0.0011275,0.078046,0.45
,0000
,3000
,2100

140,0000,1.0033%,0.928%,0.00084659,0.88905,0.19
,0000
,0100
,2100

2116,0000,1.0033%,0.73111%,0.00064677,4.2078,0
,1000
,0300
,0200

74,0000,0.96248%,0.73479%,0.0009474,2.4033,0
,0000
,0100
,3030

74,0000,0.93801%,0.70333%,0.0011406,2.0575,0.03
,0000
,0300
,1010

392,0000,0.92985%,1.0802%,0.001736,-0.86591,0.8
,0010
,3000
,3000

