FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_3\normal\mvg\mvg_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 229
Number of single edges: 229
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

20631 subgraphs were enumerated in the original network.
1735057 subgraphs were enumerated in the random networks.
1755688 subgraphs were enumerated in all networks.

For the random networks: 112089 tries were made, 62642 were successful.
Randomization took 0.031 seconds.
Enumeration took 2.028 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

140,0000,13.669%,12.074%,0.0044211,3.6076,0
,0000
,2000
,2200

2184,0000,6.7132%,6.4063%,0.0019823,1.5483,0.1
,2000
,2000
,2000

2116,0000,6.0443%,4.6205%,0.0028984,4.9123,0
,0002
,0002
,2000

2116,0000,3.9746%,3.1254%,0.0017151,4.9512,0
,3000
,0200
,0200

392,0000,3.8777%,6.5298%,0.0056439,-4.6992,1
,2000
,0200
,2000

74,0000,3.4511%,2.8378%,0.0021383,2.8684,0
,0000
,0200
,2020

392,0000,2.9034%,3.2209%,0.0028341,-1.1203,0.89
,3000
,0200
,2000

536,0000,2.0649%,0.46627%,0.0012893,12.399,0
,1000
,0200
,0020

2184,0000,1.8904%,1.3791%,0.0013766,3.7136,0
,3000
,2000
,2000

28,0000,1.8758%,1.2114%,0.0012611,5.2683,0
,0000
,0002
,3200

392,0000,1.6771%,0.65732%,0.0016029,6.3619,0
,3000
,2000
,0020

74,0000,1.6238%,1.7342%,0.001225,-0.90176,0.85
,0000
,0300
,2020

536,0000,1.6189%,0.84134%,0.0013141,5.9171,0
,0030
,1000
,0200

2184,0000,1.5947%,1.382%,0.0010494,2.027,0.03
,1000
,2000
,2000

140,0000,1.5947%,0.97839%,0.0016526,3.7293,0
,0000
,2000
,1200

14,0000,1.5898%,0.89578%,0.00075247,9.2238,0
,0000
,0000
,2220

140,0000,1.4735%,0.91602%,0.0012967,4.2994,0
,0000
,2000
,3200

536,0000,1.2699%,1.5979%,0.002068,-1.5859,0.95
,2000
,0002
,0200

140,0000,1.2699%,1.4067%,0.0015144,-0.90294,0.81
,0000
,2000
,2100

204,0000,1.236%,0.45686%,0.00076708,10.157,0
,0000
,2200
,2200

28,0000,1.1875%,0.77149%,0.0010299,4.0398,0
,0000
,0002
,2200

2116,0000,1.1488%,0.93897%,0.00085572,2.4516,0.01
,1000
,0200
,0200

536,0000,1.1391%,1.0427%,0.0016576,0.58124,0.28
,3000
,0200
,0020

392,0000,1.1342%,0.91061%,0.0013736,1.6279,0.07
,3000
,3000
,0200

140,0000,1.0954%,1.2894%,0.0013307,-1.4573,0.93
,0000
,2000
,2300

2116,0000,0.95487%,0.60752%,0.00066127,5.2529,0
,1000
,0300
,0200

140,0000,0.95003%,1.0589%,0.0011994,-0.90777,0.79
,0000
,1000
,2200

2182,0000,0.93549%,0.10983%,0.00041348,19.968,0
,3000
,2000
,0220

2116,0000,0.92094%,0.56286%,0.00075168,4.7638,0
,3000
,0200
,0300

2116,0000,0.92094%,0.61892%,0.00088042,3.4305,0
,3000
,0100
,0200

2116,0000,0.83854%,0.56121%,0.00095336,2.909,0
,0010
,2000
,0020

536,0000,0.81431%,0.57236%,0.000836,2.8941,0
,0030
,3000
,0200

