FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_3\orth\mvg\mvg_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 204
Number of single edges: 204
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

11941 subgraphs were enumerated in the original network.
1054569 subgraphs were enumerated in the random networks.
1066510 subgraphs were enumerated in all networks.

For the random networks: 86969 tries were made, 59386 were successful.
Randomization took 0.063 seconds.
Enumeration took 1.177 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

140,0000,11.163%,10.263%,0.0038965,2.3105,0.01
,0000
,2000
,2200

392,0000,6.0129%,7.2803%,0.0038621,-3.2815,1
,2000
,0200
,2000

2116,0000,5.3513%,4.3114%,0.0023969,4.3384,0
,0002
,0002
,2000

74,0000,3.9695%,3.8212%,0.0022915,0.64729,0.22
,0000
,0200
,2020

2184,0000,3.7267%,3.3962%,0.0016694,1.9792,0.03
,2000
,2000
,2000

392,0000,2.5375%,2.5087%,0.0023592,0.12198,0.39
,3000
,0200
,2000

2116,0000,2.3281%,1.9022%,0.0012262,3.473,0
,3000
,0200
,0200

536,0000,2.1606%,2.7585%,0.0026484,-2.2574,0.98
,2000
,0002
,0200

392,0000,2.1522%,1.1717%,0.001972,4.9723,0
,3000
,2000
,0020

2184,0000,1.834%,1.6065%,0.0011066,2.056,0.02
,1000
,2000
,2000

140,0000,1.7%,1.508%,0.001494,1.2856,0.1
,0000
,1000
,2200

28,0000,1.6582%,1.1871%,0.0012575,3.7461,0
,0000
,0002
,2200

2116,0000,1.5995%,1.3374%,0.00092149,2.8446,0
,1000
,0200
,0200

28,0000,1.5995%,1.1781%,0.0011389,3.6999,0
,0000
,0002
,3200

14,0000,1.5744%,1.0078%,0.0011086,5.1105,0
,0000
,0000
,2220

536,0000,1.5744%,0.83257%,0.0015117,4.9071,0
,1000
,0200
,0020

2184,0000,1.4823%,1.2265%,0.00083391,3.0675,0
,3000
,2000
,2000

74,0000,1.4739%,1.4546%,0.0013382,0.14413,0.46
,0000
,0300
,2020

392,0000,1.4488%,1.8801%,0.0026912,-1.6027,0.94
,1000
,0200
,2000

140,0000,1.4069%,1.1967%,0.0012404,1.6944,0.04
,0000
,2000
,3200

140,0000,1.3818%,1.3028%,0.0013418,0.58883,0.31
,0000
,2000
,2100

140,0000,1.3734%,1.3468%,0.0012178,0.21843,0.39
,0000
,2000
,2300

140,0000,1.2897%,1.6062%,0.0013413,-2.3602,1
,0000
,3000
,2200

392,0000,1.2729%,1.0699%,0.002072,0.97968,0.15
,1000
,2000
,0020

140,0000,1.2478%,1.139%,0.0015731,0.69169,0.23
,0000
,2000
,1200

536,0000,1.0468%,1.0598%,0.0016906,-0.076769,0.57
,3000
,0200
,0020

2116,0000,1.0384%,0.79542%,0.00088142,2.7572,0
,0010
,2000
,0020

2116,0000,0.99657%,0.7267%,0.00082916,3.2547,0
,0030
,2000
,0020

28,0000,0.97144%,0.73462%,0.00089496,2.6462,0
,0000
,0002
,2100

74,0000,0.9212%,1.1535%,0.0010678,-2.1757,0.98
,0000
,0100
,2020

392,0000,0.87932%,0.4992%,0.0011031,3.4459,0
,1000
,0200
,3000

2116,0000,0.82908%,0.65027%,0.00077881,2.2959,0.01
,3000
,0100
,0200

