FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_618\glorot\tree\tree_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 225
Number of single edges: 225
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

15186 subgraphs were enumerated in the original network.
1339403 subgraphs were enumerated in the random networks.
1354589 subgraphs were enumerated in all networks.

For the random networks: 97795 tries were made, 65246 were successful.
Randomization took 0.051 seconds.
Enumeration took 1.582 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

140,0000,16.094%,14.999%,0.0047773,2.2921,0.02
,0000
,2000
,2200

392,0000,6.045%,7.9573%,0.0048697,-3.9269,1
,2000
,0200
,2000

2184,0000,5.6104%,5.1137%,0.0018516,2.683,0.01
,2000
,2000
,2000

2116,0000,4.8136%,3.7694%,0.0017148,6.0894,0
,0002
,0002
,2000

74,0000,4.4844%,4.1031%,0.0024371,1.5645,0.06
,0000
,0200
,2020

2116,0000,3.6481%,3.0284%,0.0014651,4.2296,0
,3000
,0200
,0200

392,0000,3.4637%,3.1642%,0.0022185,1.3503,0.11
,3000
,0200
,2000

74,0000,2.2718%,2.5185%,0.0017152,-1.4384,0.88
,0000
,0300
,2020

392,0000,2.2587%,0.76843%,0.0019409,7.6783,0
,3000
,2000
,0020

14,0000,2.094%,1.3368%,0.00097276,7.7842,0
,0000
,0000
,2220

536,0000,1.778%,1.3402%,0.0016023,2.7318,0.01
,3000
,0200
,0020

28,0000,1.7648%,1.2761%,0.0010751,4.5456,0
,0000
,0002
,3200

28,0000,1.7319%,1.1936%,0.0010227,5.2634,0
,0000
,0002
,2200

392,0000,1.5804%,1.7357%,0.001734,-0.89583,0.74
,1000
,0200
,2000

392,0000,1.5211%,0.62378%,0.0013579,6.6086,0
,1000
,2000
,0020

392,0000,1.4948%,1.242%,0.0015699,1.6104,0.06
,3000
,3000
,0200

536,0000,1.4487%,2.1646%,0.0020456,-3.4998,1
,2000
,0002
,0200

2184,0000,1.2709%,0.98513%,0.0008297,3.4443,0
,3000
,2000
,2000

140,0000,1.2643%,1.581%,0.0013269,-2.3863,0.99
,0000
,2000
,2300

2116,0000,1.238%,1.0146%,0.00075333,2.9659,0
,1000
,0200
,0200

204,0000,1.1129%,0.45632%,0.00075053,8.7478,0
,0000
,2200
,2200

536,0000,1.0734%,0.65908%,0.0012006,3.4507,0
,1000
,0200
,0020

74,0000,1.0602%,1.1891%,0.0011492,-1.1218,0.88
,0000
,0100
,2020

140,0000,1.0273%,1.0259%,0.0014512,0.0092313,0.52
,0000
,2000
,3200

2184,0000,1.0009%,0.80764%,0.00073547,2.628,0
,1000
,2000
,2000

140,0000,0.92849%,1.0559%,0.00098226,-1.2966,0.89
,0000
,2000
,2100

536,0000,0.88239%,0.6796%,0.00097326,2.0836,0.01
,0030
,2000
,0200

140,0000,0.86922%,0.79672%,0.0011179,0.64858,0.25
,0000
,2000
,1200

2182,0000,0.8363%,0.101%,0.00036565,20.109,0
,3000
,2000
,0220

140,0000,0.80337%,1.4868%,0.0014636,-4.6698,1
,0000
,3000
,2200

2116,0000,0.79679%,0.54257%,0.00071375,3.5617,0
,0030
,2000
,0020

392,0000,0.7902%,0.79547%,0.00098482,-0.053476,0.52
,3000
,0200
,1000

