FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_618\orth\clus\clus_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 201
Number of single edges: 201
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

9894 subgraphs were enumerated in the original network.
896551 subgraphs were enumerated in the random networks.
906445 subgraphs were enumerated in all networks.

For the random networks: 81611 tries were made, 59566 were successful.
Randomization took 0.037 seconds.
Enumeration took 1.082 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

140,0000,18.961%,17.624%,0.0044362,3.0146,0
,0000
,2000
,2200

392,0000,11.957%,12.345%,0.0051093,-0.75937,0.77
,2000
,0200
,2000

2116,0000,8.1565%,6.5436%,0.0028865,5.5875,0
,0002
,0002
,2000

74,0000,7.1053%,6.5112%,0.0030013,1.9794,0.01
,0000
,0200
,2020

2184,0000,5.751%,5.1351%,0.0016058,3.8352,0
,2000
,2000
,2000

28,0000,3.2949%,2.4318%,0.0017315,4.985,0
,0000
,0002
,2200

536,0000,2.4156%,4.4459%,0.003478,-5.8374,1
,2000
,0002
,0200

14,0000,1.9709%,1.3608%,0.001109,5.5011,0
,0000
,0000
,2220

536,0000,1.9204%,1.013%,0.0017349,5.23,0
,3000
,0200
,0020

2116,0000,1.8092%,1.5666%,0.0010447,2.3223,0.01
,3000
,0200
,0200

392,0000,1.789%,1.05%,0.0015235,4.8507,0
,1000
,2000
,0020

392,0000,1.698%,2.0111%,0.0027997,-1.1184,0.85
,1000
,0200
,2000

2184,0000,1.4959%,1.2578%,0.00097556,2.4402,0
,1000
,2000
,2000

140,0000,1.4453%,1.4034%,0.0011694,0.35842,0.35
,0000
,1000
,2200

392,0000,1.3442%,1.6074%,0.0024214,-1.0869,0.87
,3000
,0200
,2000

2116,0000,1.3139%,1.0728%,0.0010981,2.196,0.02
,1000
,0200
,0200

2182,0000,1.3038%,0.20287%,0.0005702,19.308,0
,2000
,2000
,0220

74,0000,1.2533%,1.4106%,0.0010275,-1.5313,0.95
,0000
,0300
,2020

2116,0000,1.2533%,0.95312%,0.00095576,3.1406,0
,0010
,2000
,0020

140,0000,1.2432%,1.0565%,0.0018118,1.0303,0.17
,0000
,2000
,1200

536,0000,1.1421%,0.83657%,0.0019245,1.5876,0.07
,1000
,0200
,0020

392,0000,1.1017%,0.74837%,0.0017597,2.0077,0.03
,3000
,2000
,0020

74,0000,1.0714%,1.141%,0.0011401,-0.61097,0.74
,0000
,0100
,2020

140,0000,1.0309%,1.1767%,0.0012523,-1.1641,0.86
,0000
,2000
,2100

140,0000,0.9905%,0.97485%,0.00099434,0.15736,0.43
,0000
,2000
,2300

28,0000,0.98039%,0.78216%,0.00072137,2.7479,0
,0000
,0002
,3200

204,0000,0.88943%,0.41025%,0.00067521,7.0967,0
,0000
,2200
,2200

140,0000,0.86921%,1.0507%,0.0010195,-1.7805,0.98
,0000
,3000
,2200

140,0000,0.849%,0.61364%,0.0010189,2.3099,0.02
,0000
,2000
,3200

2184,0000,0.78836%,0.64352%,0.0007471,1.9387,0.03
,3000
,2000
,2000

392,0000,0.7075%,0.77644%,0.00098187,-0.70214,0.78
,0010
,2000
,2000

2116,0000,0.61654%,0.47459%,0.00064355,2.2057,0
,0030
,2000
,0020

