FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_618\orth\tree\tree_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 217
Number of single edges: 217
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

13604 subgraphs were enumerated in the original network.
1208844 subgraphs were enumerated in the random networks.
1222448 subgraphs were enumerated in all networks.

For the random networks: 93238 tries were made, 63174 were successful.
Randomization took 0.049 seconds.
Enumeration took 1.419 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

140,0000,16.841%,15.7%,0.0052115,2.189,0.03
,0000
,2000
,2200

392,0000,7.9462%,9.0953%,0.0062088,-1.8508,0.96
,2000
,0200
,2000

2184,0000,6.7701%,6.1762%,0.0018501,3.2097,0
,2000
,2000
,2000

2116,0000,6.4687%,5.1378%,0.0025233,5.2745,0
,0002
,0002
,2000

74,0000,4.6089%,4.4549%,0.0023379,0.65895,0.27
,0000
,0200
,2020

2116,0000,3.646%,3.1343%,0.0017588,2.9093,0
,3000
,0200
,0200

28,0000,2.6169%,1.861%,0.0013965,5.4128,0
,0000
,0002
,2200

392,0000,2.5507%,2.5038%,0.0024345,0.19258,0.38
,3000
,0200
,2000

536,0000,2.2273%,1.2653%,0.0018648,5.1587,0
,3000
,0200
,0020

74,0000,2.0068%,2.1958%,0.0011948,-1.5819,0.97
,0000
,0300
,2020

392,0000,1.8671%,1.7828%,0.0025534,0.33,0.33
,1000
,0200
,2000

2116,0000,1.7862%,1.4609%,0.0012358,2.6329,0.02
,1000
,0200
,0200

28,0000,1.7421%,1.299%,0.001212,3.6565,0
,0000
,0002
,3200

14,0000,1.7421%,1.1235%,0.00098869,6.2569,0
,0000
,0000
,2220

392,0000,1.7127%,0.61553%,0.0018439,5.9504,0
,3000
,2000
,0020

392,0000,1.4922%,0.72465%,0.0015656,4.9025,0
,1000
,2000
,0020

536,0000,1.2643%,2.4858%,0.0031054,-3.9335,1
,2000
,0002
,0200

2184,0000,1.2129%,0.97661%,0.00098257,2.4046,0
,1000
,2000
,2000

140,0000,1.1394%,1.271%,0.0012548,-1.0493,0.87
,0000
,2000
,2300

140,0000,1.0806%,1.1989%,0.00086632,-1.3658,0.89
,0000
,1000
,2200

204,0000,1.0585%,0.44702%,0.00062013,9.8607,0
,0000
,2200
,2200

74,0000,1.0291%,1.2538%,0.00086535,-2.5963,1
,0000
,0100
,2020

536,0000,1.0291%,0.83284%,0.0016087,1.22,0.14
,0030
,2000
,0200

536,0000,1.0144%,0.74253%,0.0013912,1.9543,0.04
,1000
,0200
,0020

140,0000,0.9556%,1.135%,0.0012417,-1.4446,0.9
,0000
,2000
,2100

28,0000,0.85269%,0.63251%,0.00082488,2.6692,0
,0000
,0002
,2100

140,0000,0.85269%,1.0609%,0.001118,-1.8625,0.98
,0000
,3000
,2200

392,0000,0.83799%,0.84706%,0.0012876,-0.070436,0.5
,3000
,3000
,0200

2182,0000,0.79388%,0.13983%,0.00041397,15.799,0
,2000
,2000
,0220

392,0000,0.78653%,0.66503%,0.0013174,0.9223,0.2
,3000
,0200
,1000

2184,0000,0.77183%,0.59189%,0.00073562,2.4461,0
,3000
,2000
,2000

140,0000,0.73508%,0.77785%,0.0011873,-0.36027,0.61
,0000
,2000
,1200

