FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_180112\synds\normal\init\init_w_Graph.txt
Network type: Directed
Number of nodes: 95
Number of edges: 344
Number of single edges: 344
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

24089 subgraphs were enumerated in the original network.
2306496 subgraphs were enumerated in the random networks.
2330585 subgraphs were enumerated in all networks.

For the random networks: 133218 tries were made, 102721 were successful.
Randomization took 0.086 seconds.
Enumeration took 4.016 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

140,0000,20.196%,18.368%,0.0031327,5.8339,0
,0000
,2000
,2200

392,0000,12.08%,11.364%,0.0035809,1.9995,0.02
,2000
,0200
,2000

74,0000,10.802%,9.4894%,0.002835,4.6285,0
,0000
,0200
,2020

2116,0000,7.6342%,5.9909%,0.0017624,9.3237,0
,0002
,0002
,2000

28,0000,6.3016%,4.858%,0.0015545,9.2867,0
,0000
,0002
,2200

2184,0000,4.6453%,3.816%,0.0010153,8.1676,0
,2000
,2000
,2000

14,0000,3.0927%,2.4002%,0.00063729,10.866,0
,0000
,0000
,2220

140,0000,2.4451%,2.3845%,0.00089098,0.68015,0.26
,0000
,1000
,2200

140,0000,2.3911%,2.2036%,0.00116,1.617,0.04
,0000
,2000
,1200

140,0000,2.0258%,2.055%,0.0010639,-0.27396,0.63
,0000
,2000
,2100

2184,0000,1.8681%,1.5355%,0.00060863,5.4651,0
,1000
,2000
,2000

392,0000,1.7643%,1.4078%,0.0013929,2.5589,0
,1000
,0200
,2000

536,0000,1.7269%,5.761%,0.0030895,-13.057,1
,2000
,0002
,0200

2116,0000,1.6065%,1.2675%,0.00062449,5.4286,0
,0010
,2000
,0020

392,0000,1.5028%,1.4863%,0.0014996,0.10979,0.44
,1000
,2000
,0020

74,0000,1.3243%,1.0623%,0.0010623,2.4662,0
,0000
,0200
,1020

392,0000,1.3077%,1.2081%,0.00098874,1.0073,0.14
,0010
,2000
,2000

28,0000,1.2246%,0.93424%,0.00060242,4.8202,0
,0000
,0002
,2100

74,0000,1.2205%,1.1256%,0.00069737,1.361,0.08
,0000
,0100
,2020

2182,0000,1.1167%,0.20393%,0.00035961,25.382,0
,2000
,2000
,0220

74,0000,1.0129%,0.93718%,0.00079798,0.94903,0.19
,0000
,0200
,2010

2116,0000,1.0088%,0.78038%,0.00058896,3.8778,0
,1000
,0200
,0200

14,0000,0.90083%,0.69893%,0.00046429,4.3484,0
,0000
,0000
,1220

204,0000,0.72232%,0.33319%,0.0003846,10.118,0
,0000
,2200
,2200

28,0000,0.52721%,0.40964%,0.00030448,3.8615,0
,0000
,0001
,2200

140,0000,0.44003%,0.39445%,0.00045396,1.0041,0.18
,0000
,3000
,2200

204,0000,0.39852%,0.16209%,0.00024523,9.641,0
,0000
,2100
,2200

536,0000,0.36946%,0.68046%,0.00088584,-3.5108,1
,1000
,0200
,0020

140,0000,0.36531%,0.31597%,0.00037973,1.2993,0.09
,0000
,0100
,2100

140,0000,0.34871%,0.25799%,0.00036396,2.4925,0
,0000
,2000
,2300

74,0000,0.31965%,0.24473%,0.00029916,2.5044,0
,0000
,0300
,2020

392,0000,0.31135%,0.34512%,0.00045996,-0.73427,0.73
,0030
,2000
,2000

2116,0000,0.29474%,0.24499%,0.00025958,1.9165,0
,0030
,2000
,0020

