FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_180112\synds\normal\tree\tree_w_Graph.txt
Network type: Directed
Number of nodes: 95
Number of edges: 550
Number of single edges: 550
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 5

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

1574201 subgraphs were enumerated in the original network.
131509545 subgraphs were enumerated in the random networks.
133083746 subgraphs were enumerated in all networks.

For the random networks: 248256 tries were made, 157244 were successful.
Randomization took 0.572 seconds.
Enumeration took 1192.01 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

8340,00000,1.6756%,1.2632%,0.00047479,8.6871,0
,00000
,02000
,00200
,20200

1304,00000,1.4942%,1.1791%,0.00058477,5.3872,0
,00000
,00002
,20000
,22000

8724,00000,1.4172%,1.1089%,0.00034415,8.96,0
,00000
,02000
,20000
,20200

8468,00000,1.3807%,1.1112%,0.00037175,7.2504,0
,00000
,02000
,02000
,20200

540,00000,1.3342%,1.1132%,0.00048001,4.6043,0
,00000
,00000
,20000
,22200

8472,00000,1.2814%,1.1167%,0.00042796,3.8491,0
,00000
,20000
,20000
,22000

8344,00000,1.2494%,1.1129%,0.00045379,3.0084,0
,00000
,02000
,00200
,22000

8728,00000,1.1553%,1.1084%,0.0003459,1.3577,0.08
,00000
,20000
,02000
,22000

404,00000,1.13%,0.9546%,0.00032445,5.407,0
,00000
,00000
,02200
,20200

532752,00000,0.84017%,0.73872%,0.0003085,3.2886,0
,00020
,00020
,20000
,20000

154,00000,0.83433%,0.56599%,0.00026747,10.032,0
,00000
,00000
,00200
,22020

8472,00000,0.81508%,0.78418%,0.00036325,0.85077,0.24
,00000
,20000
,10000
,22000

1080,00000,0.80727%,0.37401%,0.00027223,15.915,0
,00000
,00002
,00002
,22000

67088,00000,0.7783%,0.31768%,0.00024378,18.895,0
,20000
,20000
,02000
,00200

532744,00000,0.76534%,0.38986%,0.00022376,16.781,0
,00100
,20000
,00200
,00200

49680,00000,0.75441%,0.65265%,0.00033678,3.0217,0
,20000
,02000
,20000
,20000

402,00000,0.7447%,0.5183%,0.00026334,8.5971,0
,00000
,00000
,02200
,20020

16646,00000,0.71084%,0.27698%,0.00019615,22.119,0
,00000
,02000
,20000
,00220

8340,00000,0.68987%,0.43653%,0.00034363,7.3727,0
,00000
,02000
,00200
,20100

1080,00000,0.65995%,0.3109%,0.00020995,16.625,0
,00000
,00002
,00001
,22000

404,00000,0.64217%,0.5249%,0.00023298,5.0332,0
,00000
,00000
,01200
,22000

8340,00000,0.61136%,0.45291%,0.00028828,5.4964,0
,00000
,02000
,00100
,20200

8728,00000,0.59948%,0.60623%,0.00023002,-0.29337,0.62
,00000
,20000
,02000
,21000

532752,00000,0.59529%,0.53079%,0.00028854,2.2352,0.03
,00100
,20000
,00200
,20000

540,00000,0.57515%,0.49753%,0.00028992,2.6772,0.01
,00000
,00000
,20000
,22100

8728,00000,0.57324%,0.6254%,0.00022447,-2.3233,0.99
,00000
,20000
,01000
,22000

532744,00000,0.56079%,0.27728%,0.00017864,15.871,0
,00002
,00002
,00002
,20000

8724,00000,0.53157%,0.30108%,0.00018989,12.138,0
,00000
,02000
,20000
,10200

8724,00000,0.52033%,0.31167%,0.00020608,10.125,0
,00000
,02000
,10000
,20200

154,00000,0.48958%,0.25361%,0.00021829,10.81,0
,00000
,00000
,00200
,21020

