FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_180112\synds\orth\clus\clus_w_Graph.txt
Network type: Directed
Number of nodes: 95
Number of edges: 536
Number of single edges: 536
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

79455 subgraphs were enumerated in the original network.
7306406 subgraphs were enumerated in the random networks.
7385861 subgraphs were enumerated in all networks.

For the random networks: 223167 tries were made, 157946 were successful.
Randomization took 0.145 seconds.
Enumeration took 15.346 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

140,0000,8.8767%,8.872%,0.001398,0.03359,0.49
,0000
,2000
,2200

74,0000,5.3678%,4.3879%,0.0014581,6.7201,0
,0000
,0200
,2020

392,0000,5.1828%,5.1727%,0.0013579,0.074482,0.44
,2000
,0200
,2000

2116,0000,3.5819%,2.5482%,0.00084803,12.19,0
,0002
,0002
,2000

28,0000,2.7286%,1.902%,0.00073752,11.208,0
,0000
,0002
,2200

2184,0000,2.2856%,1.7193%,0.00045043,12.572,0
,2000
,2000
,2000

140,0000,2.0452%,2.0572%,0.0004715,-0.25388,0.53
,0000
,2000
,2300

140,0000,2.0099%,2.0253%,0.00051895,-0.29538,0.63
,0000
,1000
,2200

140,0000,1.9382%,1.9062%,0.00062461,0.51201,0.34
,0000
,3000
,2200

14,0000,1.9244%,1.3543%,0.00041576,13.712,0
,0000
,0000
,2220

140,0000,1.8942%,1.8734%,0.00053649,0.38626,0.38
,0000
,2000
,2100

140,0000,1.8614%,1.8439%,0.00058247,0.30121,0.39
,0000
,2000
,3200

140,0000,1.7998%,1.9013%,0.00060216,-1.6867,0.93
,0000
,2000
,1200

28,0000,1.7331%,1.2373%,0.00039562,12.53,0
,0000
,0002
,3200

2116,0000,1.7104%,1.2437%,0.00040544,11.511,0
,0010
,2000
,0020

74,0000,1.6387%,1.3249%,0.00052776,5.9453,0
,0000
,0300
,2020

2184,0000,1.5934%,1.2191%,0.00038224,9.7909,0
,1000
,2000
,2000

2116,0000,1.499%,1.0588%,0.00036385,12.097,0
,0030
,2000
,0020

392,0000,1.4159%,1.4128%,0.00069435,0.044884,0.48
,3000
,0200
,2000

392,0000,1.3807%,1.1031%,0.00063753,4.3535,0
,3000
,2000
,0020

2184,0000,1.3328%,0.98833%,0.00031783,10.839,0
,3000
,2000
,2000

392,0000,1.3253%,1.2792%,0.00061077,0.75504,0.26
,0010
,2000
,2000

74,0000,1.2913%,1.0354%,0.00065665,3.8965,0
,0000
,0200
,2010

392,0000,1.2875%,1.1742%,0.00072888,1.5552,0.06
,1000
,0200
,2000

536,0000,1.2863%,2.4758%,0.0012203,-9.7484,1
,2000
,0002
,0200

392,0000,1.2485%,1.1679%,0.00054868,1.47,0.06
,0030
,2000
,2000

74,0000,1.2259%,0.98281%,0.00049312,4.9287,0
,0000
,0100
,2020

392,0000,1.2221%,1.1922%,0.00046595,0.64122,0.26
,1000
,2000
,0020

14,0000,1.1642%,0.84408%,0.00029992,10.673,0
,0000
,0000
,3220

74,0000,1.1541%,0.97358%,0.00061053,2.957,0
,0000
,0200
,2030

2116,0000,1.1378%,0.83647%,0.00034199,8.8096,0
,3000
,0200
,0200

28,0000,1.1113%,0.77035%,0.00033884,10.063,0
,0000
,0002
,2100

74,0000,1.0912%,0.92846%,0.0004885,3.3312,0.01
,0000
,0200
