FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_180112\synds\orth\init\init_w_Graph.txt
Network type: Directed
Number of nodes: 95
Number of edges: 494
Number of single edges: 494
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 5

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

793585 subgraphs were enumerated in the original network.
73881269 subgraphs were enumerated in the random networks.
74674854 subgraphs were enumerated in all networks.

For the random networks: 202362 tries were made, 146201 were successful.
Randomization took 0.673 seconds.
Enumeration took 792.871 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

8724,00000,2.1005%,1.3705%,0.00053782,13.572,0
,00000
,02000
,20000
,20200

8340,00000,2.0048%,1.4668%,0.00066487,8.0917,0
,00000
,02000
,00200
,20200

8468,00000,1.7353%,1.3709%,0.00047779,7.6262,0
,00000
,02000
,02000
,20200

8728,00000,1.6099%,1.3691%,0.00039871,6.0401,0
,00000
,20000
,02000
,22000

404,00000,1.569%,1.251%,0.00036691,8.6657,0
,00000
,00000
,02200
,20200

8472,00000,1.4922%,1.2796%,0.0005654,3.7599,0
,00000
,20000
,20000
,22000

540,00000,1.4694%,1.2381%,0.00046446,4.9795,0
,00000
,00000
,20000
,22200

8344,00000,1.3667%,1.3701%,0.00046388,-0.07245,0.53
,00000
,02000
,00200
,22000

1304,00000,1.3628%,1.2247%,0.00051446,2.6841,0.01
,00000
,00002
,20000
,22000

154,00000,0.93462%,0.64059%,0.0003614,8.1358,0
,00000
,00000
,00200
,22020

67088,00000,0.91408%,0.36732%,0.00027718,19.726,0
,20000
,20000
,02000
,00200

16646,00000,0.85095%,0.33945%,0.00026205,19.519,0
,00000
,02000
,20000
,00220

402,00000,0.81982%,0.57233%,0.00031932,7.7507,0
,00000
,00000
,02200
,20020

532752,00000,0.81226%,0.81344%,0.00035919,-0.032883,0.52
,00020
,00020
,20000
,20000

8728,00000,0.76476%,0.66813%,0.00014968,6.4554,0
,00000
,20000
,01000
,22000

404,00000,0.72758%,0.56758%,0.00017415,9.1878,0
,00000
,00000
,20100
,22000

8472,00000,0.68852%,0.61174%,0.00022418,3.4251,0
,00000
,20000
,10000
,22000

8728,00000,0.67516%,0.60627%,0.00025783,2.6719,0
,00000
,20000
,02000
,21000

1080,00000,0.67113%,0.32333%,0.00019305,18.016,0
,00000
,00002
,00002
,22000

404,00000,0.66735%,0.55429%,0.00023402,4.8313,0
,00000
,00000
,01200
,22000

49680,00000,0.65387%,0.70901%,0.00042963,-1.2836,0.91
,20000
,02000
,20000
,20000

540,00000,0.61506%,0.52533%,0.00023441,3.8279,0
,00000
,00000
,20000
,22100

404,00000,0.57801%,0.46032%,0.00015762,7.467,0
,00000
,00000
,20300
,22000

8340,00000,0.55974%,0.42479%,0.0003011,4.4818,0
,00000
,01000
,00200
,20200

8724,00000,0.54071%,0.36157%,0.00017893,10.012,0
,00000
,01000
,20000
,20200

8728,00000,0.54071%,0.46452%,0.00016217,4.6981,0
,00000
,03000
,20000
,22000

532744,00000,0.52257%,0.2656%,0.00017048,15.073,0
,00002
,00002
,00002
,20000

540,00000,0.52156%,0.44377%,0.00023255,3.3448,0
,00000
,00000
,20000
,23200

67088,00000,0.51639%,0.19305%,0.00021637,14.944,0
,10000
,02000
,20000
,00020

8728,00000,0.51236%,0.44802%,0.00021878,2.9407,0
,00000
,20000
,02000
,23000

