FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_240120\synds\glorot\tree\tree_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 245
Number of single edges: 245
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

18872 subgraphs were enumerated in the original network.
1666059 subgraphs were enumerated in the random networks.
1684931 subgraphs were enumerated in all networks.

For the random networks: 108413 tries were made, 70753 were successful.
Randomization took 0.031 seconds.
Enumeration took 2.188 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

140,0000,8.3351%,7.6261%,0.0034016,2.0843,0
,0000
,2000
,2200

392,0000,3.4496%,4.5403%,0.0031953,-3.4135,1
,2000
,0200
,2000

2184,0000,3.3277%,3.0213%,0.0013786,2.2221,0.02
,2000
,2000
,2000

2184,0000,3.2376%,2.7842%,0.0012356,3.6692,0
,1000
,2000
,2000

140,0000,3.1263%,3.0263%,0.0013916,0.71857,0.22
,0000
,2000
,2100

140,0000,2.7554%,2.6309%,0.0019153,0.6501,0.22
,0000
,2000
,1200

2116,0000,2.7448%,2.1129%,0.0013664,4.6245,0
,0002
,0002
,2000

392,0000,2.5223%,2.6605%,0.0028094,-0.49217,0.69
,1000
,0200
,2000

2116,0000,2.4799%,1.9792%,0.001409,3.5531,0
,1000
,0200
,0200

140,0000,2.3898%,2.5384%,0.0011855,-1.2535,0.91
,0000
,1000
,2200

74,0000,2.0242%,2.0828%,0.0014865,-0.3945,0.65
,0000
,0200
,2020

392,0000,1.7804%,1.527%,0.0015132,1.675,0.05
,1000
,2000
,0020

74,0000,1.6638%,1.398%,0.0012994,2.0462,0.01
,0000
,0100
,2020

2116,0000,1.6003%,1.1491%,0.00080749,5.587,0
,0010
,2000
,0020

2116,0000,1.5526%,1.2586%,0.0009462,3.107,0
,3000
,0200
,0200

392,0000,1.4731%,1.608%,0.0018029,-0.74819,0.76
,3000
,0200
,2000

392,0000,1.4201%,0.58213%,0.0013431,6.2391,0
,3000
,2000
,0020

2116,0000,1.2823%,0.97982%,0.00078141,3.8713,0
,3000
,0100
,0200

14,0000,1.2293%,0.76322%,0.00064987,7.1724,0
,0000
,0000
,1220

2116,0000,1.1763%,0.88378%,0.0007402,3.9525,0
,1000
,0100
,0200

536,0000,1.1552%,0.66688%,0.0010232,4.7718,0
,3000
,0200
,0020

2184,0000,1.1499%,0.9034%,0.00085713,2.8753,0
,3000
,2000
,2000

28,0000,1.0704%,0.71445%,0.0008557,4.1593,0
,0000
,0002
,2200

28,0000,1.0333%,0.70985%,0.00070112,4.613,0
,0000
,0002
,2100

140,0000,1.0015%,0.86753%,0.0012145,1.103,0.14
,0000
,2000
,1100

14,0000,0.96439%,0.57074%,0.00056148,7.0109,0
,0000
,0000
,2220

2184,0000,0.96439%,0.71494%,0.00058676,4.2513,0
,2000
,1000
,3000

392,0000,0.95379%,1.2479%,0.0012455,-2.3616,0.98
,0010
,2000
,2000

140,0000,0.9432%,0.97528%,0.00070634,-0.45428,0.63
,0000
,1000
,2100

536,0000,0.9273%,1.2169%,0.0015943,-1.8162,0.96
,2000
,0002
,0200

140,0000,0.86371%,0.6261%,0.0011318,2.0994,0.02
,0000
,2000
,3200

140,0000,0.86371%,0.80482%,0.00091507,0.64359,0.25
,0000
,0100
,2100

