FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_240120\synds\orth\tree\tree_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 241
Number of single edges: 241
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 5

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

157297 subgraphs were enumerated in the original network.
13807644 subgraphs were enumerated in the random networks.
13964941 subgraphs were enumerated in all networks.

For the random networks: 104135 tries were made, 70237 were successful.
Randomization took 0.125 seconds.
Enumeration took 67.439 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

8728,00000,2.1043%,1.6822%,0.0010384,4.0652,0
,00000
,20000
,02000
,22000

8472,00000,2.0128%,1.686%,0.0012059,2.71,0
,00000
,20000
,20000
,22000

8340,00000,1.3598%,1.0583%,0.00093767,3.2159,0
,00000
,02000
,00200
,20200

8724,00000,1.3586%,0.93116%,0.00075593,5.6542,0
,00000
,02000
,20000
,20200

8728,00000,1.2708%,1.0645%,0.00080365,2.5674,0
,00000
,20000
,02000
,21000

8472,00000,1.2289%,1.0936%,0.00083635,1.6178,0.07
,00000
,20000
,10000
,22000

404,00000,1.2232%,0.75627%,0.000545,8.5668,0
,00000
,00000
,02200
,20200

8728,00000,1.2054%,1.1252%,0.00068292,1.1739,0.13
,00000
,20000
,01000
,22000

540,00000,1.1056%,0.69539%,0.00068813,5.9606,0
,00000
,00000
,20000
,22200

67088,00000,0.96569%,0.27605%,0.00051775,13.32,0
,20000
,20000
,02000
,00200

8468,00000,0.94598%,0.93636%,0.00077309,0.12449,0.43
,00000
,02000
,02000
,20200

532752,00000,0.9339%,1.1615%,0.00098165,-2.3186,0.99
,00020
,00020
,20000
,20000

67088,00000,0.90657%,0.28245%,0.00063317,9.857,0
,10000
,02000
,20000
,00020

404,00000,0.79658%,0.56234%,0.00035064,6.6805,0
,00000
,00000
,20100
,22000

532744,00000,0.74254%,0.42027%,0.0004952,6.5079,0
,00002
,00002
,00002
,20000

532744,00000,0.71012%,0.38303%,0.00044192,7.4017,0
,00100
,20000
,00200
,00200

404,00000,0.69677%,0.47988%,0.00041807,5.1878,0
,00000
,00000
,01200
,22000

540,00000,0.66562%,0.5011%,0.00050865,3.2345,0
,00000
,00000
,20000
,22100

49680,00000,0.64973%,0.67013%,0.000917,-0.22252,0.57
,10000
,20000
,00200
,20000

8472,00000,0.64845%,0.62595%,0.00061508,0.36595,0.3
,00000
,20000
,20000
,21000

8724,00000,0.64782%,0.54879%,0.00046491,2.13,0.02
,00000
,01000
,20000
,20200

541200,00000,0.61794%,0.42646%,0.00044692,4.2844,0
,10000
,20000
,20000
,20000

49680,00000,0.60268%,1.0395%,0.0011414,-3.8267,1
,20000
,02000
,20000
,20000

8472,00000,0.60141%,0.52225%,0.00068567,1.1545,0.15
,00000
,02000
,02000
,21000

532752,00000,0.59187%,0.68621%,0.00076099,-1.2397,0.88
,00100
,20000
,00200
,20000

67088,00000,0.56517%,0.15437%,0.00031665,12.973,0
,00100
,20000
,00002
,20000

8340,00000,0.56454%,0.54855%,0.00051702,0.30922,0.41
,00000
,01000
,00200
,20200

532520,00000,0.5461%,0.34115%,0.00053745,3.8134,0
,10000
,02000
,02000
,00200

1304,00000,0.51749%,0.54528%,0.00073196,-0.37959,0.65
,00000
,00002
,20000
,22000

67088,00000,0.51304%,0.15836%,0.00049595,7.1516,0
