FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_250120\synds\normal\clus\clus_w_Graph.txt
Network type: Directed
Number of nodes: 75
Number of edges: 245
Number of single edges: 245
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

15260 subgraphs were enumerated in the original network.
1437102 subgraphs were enumerated in the random networks.
1452362 subgraphs were enumerated in all networks.

For the random networks: 101739 tries were made, 71906 were successful.
Randomization took 0.059 seconds.
Enumeration took 2.073 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

140,0000,17.7%,15.916%,0.0044266,4.0309,0
,0000
,2000
,2200

2116,0000,9.7706%,7.5101%,0.0027349,8.2655,0
,0002
,0002
,2000

74,0000,9.443%,7.1225%,0.0030781,7.5389,0
,0000
,0200
,2020

392,0000,8.945%,12.187%,0.0046915,-6.9098,1
,2000
,0200
,2000

2184,0000,6.1206%,5.0955%,0.0017181,5.9663,0
,2000
,2000
,2000

28,0000,4.6265%,3.3424%,0.0017324,7.4121,0
,0000
,0002
,2200

536,0000,3.5911%,5.4055%,0.003344,-5.4259,1
,2000
,0002
,0200

14,0000,2.3067%,1.5598%,0.0010078,7.4114,0
,0000
,0000
,2220

140,0000,2.097%,1.9667%,0.0012933,1.0072,0.12
,0000
,2000
,2300

140,0000,2.0577%,1.8228%,0.0012824,1.8313,0.04
,0000
,2000
,3200

2116,0000,1.9201%,1.4541%,0.0010992,4.2394,0
,3000
,0200
,0200

28,0000,1.7824%,1.2595%,0.0010234,5.1095,0
,0000
,0002
,3200

2184,0000,1.6776%,1.2961%,0.00096786,3.9419,0
,3000
,2000
,2000

392,0000,1.6121%,1.9485%,0.0020253,-1.6612,0.96
,3000
,0200
,2000

74,0000,1.5727%,1.2351%,0.00090334,3.7373,0
,0000
,0300
,2020

140,0000,1.5072%,1.67%,0.0013582,-1.1986,0.87
,0000
,3000
,2200

392,0000,1.3106%,1.294%,0.0021136,0.07857,0.48
,3000
,2000
,0020

2116,0000,1.3041%,0.93583%,0.00076798,4.7949,0
,0030
,2000
,0020

2182,0000,1.1533%,0.2237%,0.00043529,21.356,0
,2000
,2000
,0220

204,0000,1.1337%,0.34316%,0.00060567,13.052,0
,0000
,2200
,2200

74,0000,0.90433%,0.88966%,0.00078435,0.18692,0.41
,0000
,0200
,3020

14,0000,0.87156%,0.57405%,0.00058667,5.0711,0
,0000
,0000
,3220

74,0000,0.81258%,0.60583%,0.00068476,3.0193,0.01
,0000
,0200
,2030

392,0000,0.77326%,0.95583%,0.0013914,-1.3121,0.89
,0030
,2000
,2000

536,0000,0.73394%,0.64297%,0.0011178,0.81389,0.21
,0030
,2000
,0200

2116,0000,0.70118%,0.50076%,0.0006129,3.27,0
,3000
,0200
,0300

536,0000,0.6291%,0.19063%,0.00074194,5.9097,0
,1000
,0200
,0020

392,0000,0.62254%,0.38945%,0.0010874,2.1436,0.03
,1000
,2000
,0020

2184,0000,0.61599%,0.48197%,0.00051086,2.6235,0.01
,1000
,2000
,2000

536,0000,0.57667%,0.95613%,0.001129,-3.3609,1
,3000
,0200
,0020

140,0000,0.54391%,0.46888%,0.00061751,1.215,0.1
,0000
,3000
,3200

392,0000,0.53735%,0.57639%,0.00067046,-0.58225,0.74
,1000
,0200
,2000

204,0000,0.51769%,0.16087%,0.0003287,10.856,0
,0000
,2300
